"Id","Label","name","description","followers_count","statuses_count","friends_count","created_at","location"
"100065631","MikeKawula","Mike Kawula 🌴🐨🌴","Entrepreneur, Author, Inc 500🙏 CEO 😎 Top 100 Marketing Influencer 👉 Co-Host of Entrepreneurs GSD Podcast https://t.co/XHeBPFPCnu  Co-Founder @DinnerTableMBA",113700,125362,70651,"Mon Dec 28 22:36:58 +0000 2009","Tampa, FL"
"1001390960","ResearchGermany","Research in Germany","Information about research and funding opportunities, open PhD and research positions, news and upcoming events in Germany. Imprint: https://t.co/Uyy8Jxv4c5",46745,28245,370,"Mon Dec 10 10:31:43 +0000 2012","Germany"
"1008658832","Datafloq","Datafloq","Datafloq is the one-stop source for #BigData, #blockchain & #AI. We offer information, insights & opportunities to drive innovation with emerging technologies.",34529,63959,3946,"Thu Dec 13 12:03:23 +0000 2012","Global"
"1009369783","SowiLady","Angelika Scheuer","Social scientist & survey researcher at @gesis_org - Deputy Director Scientific at European Social Survey (ESS ERIC)",104,64,106,"Thu Dec 13 17:52:09 +0000 2012","Mannheim, Germany"
"1014378523","TysonGingery","Tyson Gingery","Survey Research. Polls. Sports. Food. Data.  Media. Funnies. Saffy the Dog.",105,966,725,"Sun Dec 16 03:02:12 +0000 2012","San Diego, CA"
"101710163","el_gordo_","Carlos Rachedi","#ecommerce, digital, online marketing, mobile, social. https://t.co/abDeYwwRcN e-commerce, SEO. Online #leadmanagement #socialselling #Inbound Stmicroelectronic",8395,51083,8965,"Mon Jan 04 09:17:41 +0000 2010","Aix-en-Provence, France"
"1025315378","Questions1st","Questions Consulting","We approach business software analysis from a cross-functional and multi-disciplinary perspective. Founded by @ggheorghiu",4615,22120,4808,"Fri Dec 21 00:28:18 +0000 2012","Montréal, Québec"
"103003993","peplobera","Pep Lobera","Investigo y enseño sociología en @UAM_Madrid y @tuftsskidmore.
Coedito @RES_revista, colaboro con @Fecyt_ciencia
Me gusta lo que hago (casi siempre).",2883,3771,2188,"Fri Jan 08 15:01:07 +0000 2010","Madrid"
"10361342","kikollan","Kiko Llaneras","Doctor y ex profesor de ingeniería, ahora escribo en El País. En Jot Down, Politikon y Quantio. Datos, gráficos y análisis político",32828,57952,905,"Sun Nov 18 18:45:53 +0000 2007","Madrid"
"104123621","AnticsUPF","AnticsUPF","AnticsUPF - Associació d'Antics Alumnes de la Universitat Pompeu Fabra / Asociación de Antiguos Alumnos de la UPF, Barcelona / UPF Alumni Association",157,323,286,"Tue Jan 12 10:07:48 +0000 2010","Barcelona, Spain"
"1043107927","NickEmmel","Nick Emmel","Voted NO, watching the UCU leadership like a hawk, still caring about my students",560,2247,131,"Fri Dec 28 20:36:54 +0000 2012","Leeds University, views my own"
"104850722","DocWashburn","Doc Washburn","Talk show host NewsRadio 102.9 KARN/Little Rock, and worldwide at https://t.co/idyA1kgzb0 I create appointment listening. 2-6PM Central Weekdays.",13412,552464,11255,"Thu Jan 14 16:01:39 +0000 2010","Little Rock, AR"
"1048799996","ms1911s","Sociología Práctica","Gabinete de Sociología",444,2209,902,"Sun Dec 30 20:56:53 +0000 2012","Madrid -Spain-"
"10497222","UniversiaES","Universia España","¿Buscas empleo o prácticas? La mayor red iberoamericana de colaboración universitaria:1.401 universidades e instituciones de educación superior en 23 países.",46460,38307,1050,"Fri Nov 23 17:03:11 +0000 2007","Madrid"
"105025592","clairedurand","Claire Durand","President, WAPOR. Professeur, dept. de sociologie, U de Montréal;  Sondages/ Survey research; Méthodes quantitatives/ quantitative methods;",1803,1581,129,"Fri Jan 15 03:36:40 +0000 2010","Montréal"
"105264568","kapsb2","Dr. Kapil Bansal","Lifelong learner",2077,1528,1269,"Fri Jan 15 21:41:57 +0000 2010",""
"1055679372","csestweets","CSES","The Comparative Study of Electoral Systems (CSES) includes post-election survey and macro data from 60+ participating nations. Available for free download.",2031,334,1171,"Wed Jan 02 17:48:22 +0000 2013","Global"
"105590714","ryan_liang","Liang Wang","Researcher @ Cambridge University, focusing on computer systems and networks research, with a strong interest in machine learning and big data frameworks, HFT.",16096,1007,13324,"Sat Jan 16 21:03:06 +0000 2010",""
"1060842614","memcculloch","Mike McCulloch","Physicist, lecturer, author & proud father. I've proposed a new model of inertia that predicts galaxy rotation without dark matter. I like drawing too.",2603,18673,2020,"Fri Jan 04 16:23:55 +0000 2013","Plymouth, UK"
"1061859804","uri_sohn","Uri Simonsohn","Behavioral Scientist & Pragmatic Methodologist. Blog: https://t.co/MHq78coXuq
 
:",5097,1419,124,"Sat Jan 05 01:33:29 +0000 2013","Barcelona, Spain"
"106487238","LuisCornagoB","Luis Cornago","MSc candidate in Comparative Politics at @LSEGovernment (with @BecarioslaCaixa). Canciones.",1335,21048,1107,"Tue Jan 19 18:34:03 +0000 2010","London, England"
"106677059","ialstoop","Ineke Stoop","Love surveys, will travel",296,1524,144,"Wed Jan 20 09:13:49 +0000 2010",""
"106730860","IOE_London","UCL Institute of Education","We are #IOE, @UCL's world leading centre for education and social science research, courses, and engagement. We're here Monday-Friday 9am-5pm London time.",27791,6839,572,"Wed Jan 20 14:32:54 +0000 2010","London"
"107148161","OJAIBY","NASSER ALOJAIBY","#Politics #security & #WPS consultant, #influence #communication expert;co-founder of #YemenReborn  Founder of @CCYRC,first&widest coalition of #youth in #Yemen",1692,18979,1834,"Thu Jan 21 17:48:48 +0000 2010","Yemen"
"1071612708","BuyStrategyCom","Business Strategy","http://t.co/hXTIC2eegF is the leading provider of business strategy frameworks, business templates, and PowerPoint templates.",2383,18918,1886,"Tue Jan 08 18:21:29 +0000 2013","New York"
"107206990","Prerit17","Prerit Saxena","Data Scientist, Computer freak, tech savvy, crazy coder, blogger, writer and above all a very simple person. :)",96,407,90,"Thu Jan 21 21:13:29 +0000 2010","Cincinnati, OH"
